,ra_str,dec_str,WDS,DD,ADS,HD,HIP,V1,V1_err,V2,V2_err,period,period_units,eee.eeeeee,AAA.AAAAA,*,ee.eeeee,III.IIII,eee.eeee,NNN.NNNN,*.1,eee.eeee.1,TTTTT.TTTTTT,*.2,eee.eeeeee.1,E.EEEEEE,e.eeeeee,OOO.OOOO,eee.eeee.2,EQNX,LAST,G,N,REF,PNGFILE,period_days,ra,dec,tgas_hip,tgas_tycho2_id,tgas_solution_id,tgas_source_id,tgas_random_index,tgas_ref_epoch,tgas_ra,tgas_ra_error,tgas_dec,tgas_dec_error,tgas_parallax,tgas_parallax_error,tgas_pmra,tgas_pmra_error,tgas_pmdec,tgas_pmdec_error,tgas_ra_dec_corr,tgas_ra_parallax_corr,tgas_ra_pmra_corr,tgas_ra_pmdec_corr,tgas_dec_parallax_corr,tgas_dec_pmra_corr,tgas_dec_pmdec_corr,tgas_parallax_pmra_corr,tgas_parallax_pmdec_corr,tgas_pmra_pmdec_corr,tgas_astrometric_n_obs_al,tgas_astrometric_n_obs_ac,tgas_astrometric_n_good_obs_al,tgas_astrometric_n_good_obs_ac,tgas_astrometric_n_bad_obs_al,tgas_astrometric_n_bad_obs_ac,tgas_astrometric_delta_q,tgas_astrometric_excess_noise,tgas_astrometric_excess_noise_sig,tgas_astrometric_primary_flag,tgas_astrometric_relegation_factor,tgas_astrometric_weight_al,tgas_astrometric_weight_ac,tgas_astrometric_priors_used,tgas_matched_observations,tgas_duplicated_source,tgas_scan_direction_strength_k1,tgas_scan_direction_strength_k2,tgas_scan_direction_strength_k3,tgas_scan_direction_strength_k4,tgas_scan_direction_mean_k1,tgas_scan_direction_mean_k2,tgas_scan_direction_mean_k3,tgas_scan_direction_mean_k4,tgas_phot_g_n_obs,tgas_phot_g_mean_flux,tgas_phot_g_mean_flux_error,tgas_phot_g_mean_mag,tgas_phot_variable_flag,tgas_l,tgas_b,tgas_ecl_lon,tgas_ecl_lat,tgas_match_distance
1873,172816.19,-205749.5,17283-2058,A  2244AB,10561.0,158122.0,85491.0,8.68,,8.9,,44.52,y,2.18,0.168,a,0.003,40.2,3.9,265.5,,9.7,2015.23,y,0.26,0.578,0.044,25.0,15.3,2000.0,2014.0,2,n,Tok2015c,wds17283-2058o.png,16260.582744,262.067458333,-20.96375,85491,            ,1635378410781933568,4120959925820475136,1186860,2015.0,262.067499944,0.492496952907,-20.963574717,0.465411230324,10.7326461324,0.64469117556,4.78423921661,0.0657686489002,28.2292677811,0.0437903866593,0.253354460001,-0.370042949915,0.314910084009,0.0922187194228,-0.618976891041,0.0764393284917,0.431131839752,-0.138022005558,-0.260047256947,0.0329821035266,52,52,52,49,0,3,3.31006145477,1.39608327001,321.347325134,True,13.5678224564,0.50934201479,7.49749187889e-06,3,6,False,0.458324402571,0.225162193179,0.606474459171,0.857066512108,-120.68396759,-5.75106859207,-25.2135448456,-44.9865760803,50,12530104.9722,17781.8218446,7.77988329046,NOT_AVAILABLE,4.6570967923,7.57787095897,262.58977354,2.27188818793,6.06864242925e-05
1886,173222.97,+284816.0,17324+2848,A   352,10621.0,159240.0,85837.0,8.55,,9.39,,64.05,y,1.5,0.177,a,0.002,98.6,0.5,1.3,,1.0,1982.58,y,0.40,0.309,0.005,292.9,1.5,2000.0,1996.0,3,n,Doc2009g,wds17324+2848k.png,23393.76291,263.095708333,28.8044444444,85837,           ,1635378410781933568,4598741227515638016,196393,2015.0,263.09584917,0.383315770952,28.8045279023,0.4642413911,6.78291997919,0.578412444675,18.7734279239,0.0340207552969,13.5201663398,0.0415865174925,0.0757178887725,0.200502768159,0.469947576523,0.0327729098499,-0.188324287534,0.0356019251049,0.458522289991,0.09266615659,-0.0987853854895,0.108631759882,142,142,136,140,6,2,3.69806265831,2.21406906752,3672.50342932,True,21.4821739197,0.194588512182,1.05592034743e-05,3,20,True,0.567570984364,0.188263893127,0.335070222616,0.531442940235,-76.2182922363,-76.720375061,-42.5615158081,32.5900001526,169,10752330.2296,7235.41395615,7.94601357852,NOT_AVAILABLE,52.5357551069,28.9082668129,260.146905469,52.0079241582,5.27039151516e-05
1887,173234.08,+344447.6,17326+3445,HU 1181,10624.0,159304.0,85846.0,8.62,,9.11,,23.3,y,,0.16,a,,70.0,,157.0,,,1992.0,y,,0.26,,205.0,,2000.0,,2,n,Sod1999,wds17326+3445a.png,8510.14326,263.142,34.7465555556,85846,           ,1635378410781933568,1335897694216011776,672825,2015.0,263.142262216,0.37539814602,34.7466096798,0.419952404396,15.2786275687,0.480588133504,30.8751283201,0.0366117047349,10.0273699803,0.0418461002363,0.159208893776,-0.202190876007,0.423537611961,0.0671389177442,-0.229115158319,0.0648167356849,0.402414023876,-0.091169193387,-0.111743852496,0.217736124992,142,142,140,141,2,1,3.92115545273,2.06569628797,2379.36359813,True,20.0458068848,0.226429030299,8.51128424983e-06,3,19,False,0.434456199408,0.159066736698,0.180893212557,0.331942439079,-75.1898269653,-64.8636245728,-45.2989120483,32.3449363708,150,12024396.9326,62966.1528912,7.8246118035,NOT_AVAILABLE,59.1455727779,30.438089071,259.350645188,57.9326449852,8.76845012473e-05
1902,173731.10,+241835.9,17375+2419,CHR  63,,160181.0,86254.0,5.9,,7.3,,10.42,y,0.15,0.127,a,0.003,100.6,1.5,72.4,,2.0,1995.51,y,0.20,0.753,0.01,259.8,1.5,2000.0,2008.0,3,n,Doc2016d,wds17375+2419k.png,3805.823724,264.379583333,24.3099722222,86254,           ,1635378410781933568,4557634026807102976,1515549,2015.0,264.379497921,0.468384710443,24.3100138339,0.636118691311,9.86390327097,0.837104956762,-11.0018198845,0.0212333980671,6.80915826554,0.0301757095719,0.0929763689637,0.000285761168925,0.928233623505,0.0825247615576,-0.176880195737,0.086386308074,0.886038303375,-0.000234171049669,-0.157419115305,0.0956303104758,199,199,198,198,1,1,966.06048584,3.64599592673,15655.749226,True,35.3513526917,0.0746628195047,3.64045226888e-05,3,30,False,0.352276861668,0.298561125994,0.183871299028,0.43343397975,-112.948265076,-80.4924545288,-7.91488695145,37.4647293091,238,80560876.401,136131.393514,5.75945960847,NOT_AVAILABLE,48.121437249,26.410884287,262.393523394,47.6009974751,3.46293760214e-05
1928,174707.30,-380643.5,17471-3807,I  1336,,161390.0,87042.0,6.76,,7.82,,36.06,y,2.08,0.132,a,0.001,45.0,0.1,15.8,,8.4,2017.29,y,0.19,0.578,0.05,11.3,14.2,2000.0,2014.0,3,,Tok2015c,wds17471-3807o.png,13170.633732,266.780416667,-38.1120833333,87042,            ,1635378410781933568,4039804491544440576,1149664,2015.0,266.78033455,5.05523952493,-38.1122904739,4.45255654687,6.63255696467,0.783926914653,-7.36694053764,0.215788156396,-29.2485447942,0.189656112698,0.987934172153,0.140634164214,0.984941065311,0.977669298649,0.116894461215,0.973263502121,0.989451825619,0.137922540307,0.116244375706,0.961240649223,42,42,42,42,0,0,20.1130371094,2.301450348,2067.46057118,True,22.3281955719,0.188644647598,1.47981800183e-05,3,5,False,0.187679558992,0.988174021244,0.165909051895,0.95336163044,-43.5520324707,-41.3645057678,-44.0056610107,-41.4054870605,36,43203837.6414,58661.7290189,6.43596425048,NOT_AVAILABLE,352.302168915,-5.01934070306,267.381486049,-14.7022703348,9.17682880088e-05
1946,175414.21,+110751.4,17542+1108,FIN 381,,163151.0,87655.0,7.0,,7.2,,9.008,y,0.015,0.0853,a,0.002,160.9,5.0,173.6,,10.0,2016.305,y,0.050,0.327,0.002,58.3,10.0,2000.0,2008.0,1,n,Doc2013d,wds17542+1108b.png,3290.1017376,268.559208333,11.1309444444,87655,            ,1635378410781933568,4495739115667483392,501692,2015.0,268.558789395,0.394831323723,11.129838324,0.343983845277,10.7955471947,0.430586010885,-61.8820286505,0.0430792309911,-169.154759095,0.036974334581,0.187512204051,-0.221550628543,0.338828355074,0.0959084779024,-0.259128212929,0.0827077180147,0.359053641558,-0.0619101785123,-0.119720719755,-0.336658984423,34,34,34,33,0,1,191.182937622,0.882643365758,437.62225156,True,8.61288070679,1.25756812096,2.82670516754e-05,3,4,True,0.167119070888,0.115963675082,0.286833137274,0.738916039467,113.025985718,-13.6043186188,-44.1129493713,-42.6030349731,33,60029521.0237,656556.806283,6.07885786852,NOT_AVAILABLE,36.6197892087,17.6812839716,268.282810927,34.5605288587,0.000429562906135
1951,175714.34,+235944.6,17572+2400,MCA  50,,163840.0,87895.0,6.3,,7.9,,2.4143,y,0.00077,84.0,m,3.0,68.0,2.4,359.0,,1.4,1989.514,y,0.009,0.41,0.011,315.0,1.9,,,2,n,Pbx2000b,wds17572+2400a.png,881.80424346,269.30975,23.9957222222,87895,           ,1635378410781933568,4580864542839092480,1307209,2015.0,269.309616838,0.361413569162,23.9961867414,0.569069143401,34.7980843993,0.744862810564,-16.5188726551,0.0224603039297,72.2553395427,0.0359690360073,0.0246765613556,-0.15488512814,0.675939261913,0.0135700013489,-0.347127348185,0.0155769130215,0.660663247108,-0.109136290848,-0.231142640114,0.0206666886806,208,208,205,208,3,0,25.7653827667,2.90795545505,14012.0388323,True,28.2018089294,0.115939445794,2.55100621871e-05,3,30,False,0.414916187525,0.376776397228,0.0643170624971,0.231002658606,-91.0608901978,89.5506896973,-4.20435762405,33.5483131409,240,58085374.558,27288.6436259,6.11460307832,NOT_AVAILABLE,49.5064092689,22.0819691479,269.067610868,47.4332331793,0.000171779251307
1974,180426.16,-595231.6,18044-5953,RST5099,,164328.0,88510.0,9.19,,9.01,,45.64,y,2.1,0.259,a,0.004,68.2,1.0,114.4,,1.0,2009.1,y,0.10,0.513,0.01,107.1,2.7,2000.0,2014.0,3,n,Tok2015c,wds18044-5953o.png,16669.654008,271.109,-59.8754444444,88510,           ,1635378410781933568,6647354075526497280,202580,2015.0,271.108720077,0.929606007455,-59.8765882392,1.18399690204,15.6987777647,0.713503509121,-22.0984388714,0.0704521307273,-172.104142453,0.063467734344,-0.958022773266,0.425958067179,0.540922701359,-0.756192147732,-0.529676496983,-0.513514876366,0.791108727455,0.199419900775,-0.433183312416,-0.286070406437,145,145,117,138,28,7,4.72821521759,1.42033269877,583.394411817,True,13.8022212982,0.490451067686,9.55204723141e-06,3,19,False,0.397590845823,0.956396102905,0.484652459621,0.841521680355,57.6776161194,50.3311882019,55.6241645813,-39.0550308228,152,10128672.2796,7839.93574028,8.01088876521,NOT_AVAILABLE,333.973455938,-17.6642452282,270.691643903,-36.4399693141,0.000429431234015
1992,180912.18,-221100.6,18092-2211,RST3157,,165893.0,88932.0,9.58,,9.92,,9.325,y,0.021,0.154,a,0.005,49.6,5.2,250.8,,6.5,2015.286,y,0.175,0.423,0.042,54.5,6.3,2000.0,2014.0,2,n,Tok2015c,wds18092-2211o.png,3405.883515,272.30075,-22.1835,88932,            ,1635378410781933568,4069746976314113152,217877,2015.0,272.300667822,0.325824476517,-22.1841212434,0.309033467318,28.5071135991,0.426866750314,-9.95955670843,0.072635686886,-92.1884237884,0.0514376281909,0.263866811991,-0.483848363161,0.18087644875,0.0313170962036,-0.61274087429,0.0416596755385,0.219084218144,-0.122613623738,-0.134128749371,0.20613232255,34,34,34,31,0,3,1.25208473206,0.662969774874,77.2837738459,True,6.50289058685,2.21480584145,2.06030508707e-05,3,5,False,0.480497121811,0.144442468882,0.555837869644,0.953432500362,-139.076568604,-2.94828557968,-22.4933605194,41.8708877563,41,7081270.69017,8134.83893816,8.3994920735,NOT_AVAILABLE,8.50644154478,-1.2124131817,272.130791808,1.23814409761,0.000239635452412
2033,183031.02,-284742.9,18305-2848,HDS2624,,170415.0,90715.0,8.47,,8.71,,42.93,y,10.94,0.0979,a,0.0211,144.5,33.2,42.3,,22.1,2007.53,y,1.05,0.531,0.104,14.0,24.7,2000.0,2014.0,3,,Tok2015c,wds18305-2848o.png,15679.847646,277.62925,-28.79525,90715,            ,1635378410781933568,4048486716386440192,1131925,2015.0,277.629180553,0.33536227376,-28.7953612445,0.396968339678,5.71393756336,0.477095170923,-6.84275060301,0.0670823667012,-16.5621995439,0.0408287863082,0.31752628088,-0.217428833246,0.186051383615,0.119213692844,-0.695069670677,0.0697514340281,0.390483349562,-0.0620911642909,-0.278647899628,0.16045896709,63,63,63,63,0,0,0.256313621998,1.04298766516,540.976297413,True,10.158039093,0.855741679668,6.0656907408e-06,3,7,False,0.460300385952,0.226462379098,0.637187123299,0.921333193779,-108.76184845,-25.6366462708,-33.1169433594,39.7889862061,56,13200775.886,12002.4298534,7.72327141895,NOT_AVAILABLE,4.87575497772,-8.54238731158,276.712630734,-5.53368018936,5.32000417524e-05
2050,184059.63,+244930.3,18410+2450,A  2988,11574.0,172743.0,91609.0,8.08,,9.08,,57.172,y,1.168,0.102,a,0.019,154.7,19.0,329.6,,9.7,1941.464,y,1.520,0.688,0.101,306.8,11.5,2000.0,1995.0,3,,FMR2010f,wds18410+2450b.png,20881.6270584,280.248458333,24.8250833333,91609,            ,1635378410781933568,4535929461115418624,1632110,2015.0,280.248487607,0.502051975007,24.8251372117,0.639367873131,4.95652259724,0.752724727527,3.16173601017,0.0327834133088,7.52064083048,0.0459672667944,0.280999302864,0.0457424223423,0.642781972885,0.163236230612,-0.246650844812,0.181183904409,0.580278635025,0.026877027005,-0.147972375154,0.206511110067,164,164,156,163,8,1,25.6982688904,3.13277859336,6054.85239254,True,12.1013479233,0.0967439636588,7.32305716156e-06,3,24,False,0.603442847729,0.325714051723,0.210231900215,0.469916373491,-76.0213241577,-64.9147338867,-17.0591087341,-27.2552928925,197,15526203.0309,6599.48048317,7.54710691137,NOT_AVAILABLE,54.3043259046,13.1935676124,283.901843496,47.7710389813,2.62216333221e-05
2078,185134.80,-605344.5,18516-6054,RST5126,,173895.0,92547.0,7.92,,8.78,,54.16,y,3.17,0.13,a,0.005,21.7,13.8,195.0,,34.5,2011.97,y,0.36,0.492,0.02,12.8,36.1,2000.0,2014.0,3,,Tok2015c,wds18516-6054o.png,19781.517552,282.895,-60.8956944444,92547,           ,1635378410781933568,6632086291422920064,1586882,2015.0,282.895395466,0.544890077984,-60.8959131754,0.678783271586,6.51049810947,0.965597728476,28.7814834002,0.0353123966027,-31.0917363195,0.0396261685947,-0.635317921638,0.733164966106,0.63957285881,-0.461935192347,-0.757856607437,-0.405257999897,0.725851178169,0.467095047235,-0.551553189754,-0.313967853785,104,104,104,101,0,3,25.6061134338,1.95498718318,1071.18534823,True,18.9742202759,0.251886129379,9.39852270676e-06,3,14,False,0.457521647215,0.245816171169,0.396797299385,0.530930817127,-25.0635528564,69.6675186157,55.6325378418,40.9863204956,97,18650436.8606,8810.67609073,7.34804754132,NOT_AVAILABLE,334.962442083,-23.4957780078,277.897224786,-37.8096733945,0.00011489015045
2160,193012.60,+563840.1,19302+5639,A   712,12552.0,184195.0,95901.0,7.49,,7.94,,95.41,y,,0.177,a,,99.0,,98.6,,,1972.92,y,,0.567,,263.0,,2000.0,1996.0,3,n,USN2006b,wds19302+5639a.png,34847.758302,292.5525,56.6444722222,95901,            ,1635378410781933568,2142109647483061120,1477118,2015.0,292.552423164,0.326693633389,56.6443526967,0.35332289439,5.63255342803,0.370340212537,-7.00719669347,0.0330719409213,-16.1742602519,0.0334528299657,-0.269720524549,-0.376374065876,0.407356888056,-0.119436256588,0.455154567957,-0.120980165899,0.43477165699,-0.171477213502,0.196101665497,-0.151421830058,94,94,94,93,0,1,5.920566082,1.24948730245,1141.23211927,True,12.1513214111,0.625128448009,1.14326849143e-05,3,16,False,0.123816289008,0.117478206754,0.25901722908,0.131502762437,-81.8439407349,58.7551879883,-7.63195610046,12.5929479599,120,27685270.4115,22765.0886561,6.91914813941,NOT_AVAILABLE,88.3300164191,17.3663961343,327.637432216,75.5429530016,5.37414443729e-05
2162,193047.57,+633704.3,19308+6337,HU  951,12577.0,,95955.0,10.05,,10.36,,153.74,y,,0.204,a,,32.3,,126.2,,,1967.84,y,,0.225,,316.3,,2000.0,2008.0,3,n,Hrt2014b,wds19308+6337i.png,56152.335828,292.698208333,63.6178611111,95955,           ,1635378410781933568,2241904105956687488,171043,2015.0,292.698507134,3.4255462403,63.6178631581,7.60798336925,5.1832874593,0.784666002728,21.0044897388,0.152591092938,0.762407394952,0.323879094404,0.995181143284,-0.801934599876,0.94599211216,0.984536707401,-0.850934386253,0.940748870373,0.98944991827,-0.764649033546,-0.840758383274,0.934427499771,182,182,155,167,27,15,0.189122334123,1.1977483831,198.253974088,True,11.6516389847,0.684929728508,1.90202099475e-05,3,28,True,0.884118795395,0.998070538044,0.886067450047,0.992341518402,117.916900635,-62.8742523193,-2.09082102776,27.1331348419,224,3413864.17024,1293.17584319,9.19165446997,NOT_AVAILABLE,95.1751236067,19.9326179828,353.425054726,80.0607275785,4.52693617046e-05
2174,193905.98,+762518.0,19391+7625,MLR 224,,186922.0,96656.0,8.67,,9.35,,11.929,y,0.003,189.0,m,2.0,80.2,0.2,293.0,,0.6,1993.15,y,0.004,0.24,0.003,250.0,0.1,,2006.0,2,n,Bag2007,wds19391+7625a.png,4356.9742038,294.774916667,76.4216666667,96656,           ,1635378410781933568,2289645622389846656,1443560,2015.0,294.779268561,0.954067060048,76.42260859,0.889284864302,33.3569994735,0.774978403825,154.797848673,0.0511420055362,140.758605471,0.0479767042962,-0.707196116447,-0.421929091215,0.784491956234,-0.553961873055,0.567480802536,-0.557722568512,0.780771434307,-0.334658265114,0.440672248602,-0.478932470083,38,38,27,37,11,1,28.4858074188,1.5617603189,348.014909525,True,15.1696691513,0.407626360655,3.52347660737e-06,3,5,True,0.547345817089,0.63713657856,0.991882741451,0.460238724947,-98.1256332397,37.2587661743,-6.26720428467,-31.1510658264,38,13010862.3217,10128.381465,7.73900486064,NOT_AVAILABLE,108.417124311,23.5836420637,62.7576930578,77.5875892103,0.000517893185341
2186,194533.52,+333607.0,19464+3344,STF2576FG,12889.0,186858.0,97222.0,8.47,,8.58,,232.0,y,,2.07,a,,156.0,,91.0,,,1945.3,y,,0.77,,128.0,,2000.0,,2,n,Sod1999,wds19464+3344b.png,84736.1904,296.389666667,33.6019444444,97222,            ,1635378410781933568,2035021028897074432,1794125,2015.0,296.389739747,0.70779461025,33.6001581186,0.299090802354,44.8974366053,0.780346051174,7.57038156739,0.0470395135417,-439.238294446,0.0384630891686,-0.674471139908,-0.924901127815,0.610172390938,-0.218705207109,0.675653040409,-0.422041893005,0.297424733639,-0.578206121922,0.217456296086,-0.233378604054,45,45,45,43,0,2,12.6626386642,0.767991223362,171.852887082,True,7.51028871536,1.63815760612,4.79280834043e-06,3,8,True,0.558242738247,0.259183853865,0.338328182697,0.134823873639,148.14465332,21.0390357971,-55.7407608032,-11.655790329,54,10796047.6334,7174.90425042,7.94160808373,NOT_AVAILABLE,68.6071046995,4.52577542634,308.559683248,53.5638481601,5.27393820887e-05
2192,194723.94,-014828.8,19474-0148,A  2993,12924.0,186949.0,97367.0,9.06,,9.09,,138.36,y,,0.22,a,,116.1,,327.0,,,1984.83,y,,0.075,,344.4,,2000.0,2009.0,3,,Hrt2014b,wds19474-0148i.png,50534.910792,296.84975,-1.808,97367,            ,1635378410781933568,4234989589543115648,310136,2015.0,296.849741068,0.467831924531,-1.8081182643,0.26238139288,5.19795785725,0.504483325519,-1.61117580149,0.0609182720338,-18.7101994948,0.0413192273149,0.674397051334,-0.281705230474,0.289214193821,0.201343283057,-0.0325538814068,0.207290410995,0.265562295914,-0.0941382944584,-0.0274101551622,-0.0189965013415,186,186,182,179,4,7,1.06711196899,1.41710730638,905.272889402,True,13.7710428238,0.477970778942,5.11138068759e-06,3,27,False,0.39127138257,0.772607445717,0.549498677254,0.432528138161,-10.0609884262,-26.1873493195,-13.8528652191,-29.801158905,171,9445438.87995,4601.25193334,8.08671470856,NOT_AVAILABLE,37.770649149,-13.2641670374,298.520560376,19.0121573293,4.03659146984e-05
2247,202027.98,+435116.3,20205+4351,"IOT   2Aa,Ab",,193793.0,100287.0,6.85,,,,2896.35,d,0.9,8.99,m,0.19,118.9,0.9,354.2,,0.7,46155.7,m,3.0,0.901,0.005,48.2,1.9,2009.0,,3,n,CIA2011d,wds20205+4351a.png,2896.35,305.116583333,43.8545277778,100287,            ,1635378410781933568,2081261368330789632,419962,2015.0,305.116541164,0.318637616632,43.8545162698,0.409970239606,0.400923599506,0.426463386017,-4.74069316132,0.0269632813962,-1.51140232899,0.024871224085,-0.0221332013607,-0.193879812956,0.49209728837,-0.0159933939576,0.358265727758,-0.0155809093267,0.691359043121,-0.1057254076,0.24830070138,-0.000422841927502,70,70,70,68,0,2,3.41917085648,1.27051816914,147.565526572,True,12.3544740677,0.609515786171,1.42523631439e-05,3,16,False,0.444608986378,0.215575531125,0.0924851894379,0.478863924742,-93.8745803833,-81.9968109131,36.9550437927,16.2908306122,114,36816249.617,22211.3788397,6.60967119913,NOT_AVAILABLE,80.930243957,4.17711990942,327.370229963,60.492025523,1.18608819739e-05
2304,205041.84,-311545.4,20507-3116,B   997,,198340.0,102892.0,8.66,,10.1,,63.67,y,34.66,0.207,a,0.053,41.5,8.1,281.1,,27.2,2014.34,y,14.29,0.179,0.142,306.4,141.1,2000.0,2014.0,3,n,Tok2015c,wds20507-3116o.png,23254.970874,312.674333333,-31.2626111111,102892,           ,1635378410781933568,6793908152191681664,120576,2015.0,312.674142498,0.894082057656,-31.2625915185,0.864233499607,10.4049585275,0.916527735888,-25.7139403308,0.0725278849834,4.16224127057,0.0525172479927,0.870217323303,-0.0415085889399,0.526316940784,0.596739828587,-0.13919274509,0.470358133316,0.678424119949,-0.0440270006657,-0.0874047726393,0.283707916737,152,152,134,152,18,0,8.99220848083,2.39832185738,2627.4952916,True,23.2661762238,0.164517879486,9.2434556791e-06,3,24,True,0.39211088419,0.821138978004,0.410146176815,0.749358415604,-33.5221557617,-43.1416816711,-32.5026245117,44.393661499,205,9145610.38665,6246.50430403,8.12173832383,NOT_AVAILABLE,13.0592669621,-37.9435385927,306.499519967,-13.0704362438,5.6029235731e-05
2311,205341.31,+591827.7,20537+5918,A   751,14412.0,199306.0,103130.0,7.66,,7.96,,56.87,y,,0.169,a,,130.6,,177.3,,,1976.04,y,,0.591,,276.2,,2000.0,2011.0,2,n,Sca2013b,wds20537+5918b.png,20771.323914,313.422125,59.3076944444,103130,            ,1635378410781933568,2190848695837680000,950928,2015.0,313.422632105,3.68784192862,59.3075069062,4.80080662012,8.0088356564,0.404485183775,40.7808137956,0.15800522039,-28.6926144927,0.204383508899,0.996567606926,-0.457446336746,0.981324017048,0.986242771149,-0.498357385397,0.977817714214,0.989732325077,-0.454417586327,-0.490070551634,0.965909719467,185,185,160,176,25,9,1.4670085907,1.5559642498,608.093901924,True,15.1136159897,0.411859989166,1.10508217404e-05,3,28,False,0.774472534657,0.997351825237,0.770275294781,0.98949611187,127.737922668,-51.7502937317,7.74589586258,38.2615280151,222,29428644.7782,10564.8359812,6.8528444068,NOT_AVAILABLE,96.4872239838,9.27161903237,0.31363872978,69.4599473803,0.000111933259709
2352,211328.77,+155856.8,21135+1559,HU  767,14761.0,202128.0,104771.0,7.05,,7.13,,34.33,y,0.12,0.1907,a,0.002,66.66,0.61,169.64,,0.82,1978.083,y,0.092,0.586,0.013,120.1,0.5,2000.0,,2,n,Hrt1996a,wds21135+1559a.png,12538.764726,318.369875,15.9824444444,104771,           ,1635378410781933568,1760610208205252352,1005599,2015.0,318.370101136,0.636016965612,15.9822941932,0.739842919848,11.4717034254,0.745161448209,35.9525513128,0.0401541430521,-23.8281951118,0.0441195845876,0.13612164557,0.0897779017687,0.662261724472,0.0940589010715,-0.0371261537075,0.0893230363727,0.704095482826,0.0521856099367,-0.0286216810346,0.212748855352,86,86,86,86,0,0,8.43765354156,2.9655020681,9876.04301833,True,28.7592105865,0.107650637627,2.37998374359e-05,3,11,False,0.226736724377,0.147052362561,0.0366195589304,0.837967216969,-60.1104011536,-70.6337814331,-25.6275978088,25.9800376892,87,52549762.1273,27912.3237745,6.22334317763,NOT_AVAILABLE,65.4910654329,-21.8032461326,326.455088554,30.4413023762,8.46549614215e-05
2362,211834.85,+113408.2,21186+1134,BU  163AB,14839.0,202908.0,105200.0,7.31,,8.88,,78.54,y,,0.5177,a,,100.36,,255.03,,,1987.048,y,,0.8651,,351.92,,,,2,n,Fek1997,wds21186+1134a.png,28686.122388,319.645208333,11.5689444444,105200,           ,1635378410781933568,1746335798497893632,731540,2015.0,319.645469859,0.264846079643,11.5686238918,0.510016446302,17.0550958709,0.429650136212,36.0298183901,0.0356089261427,-48.4384828353,0.0323884940486,0.369401693344,-0.0518487095833,0.299764662981,0.236014097929,-0.595130383968,0.117410153151,0.652801454067,-0.0388229303062,-0.393231868744,0.266155838966,45,45,45,44,0,1,6.40001773834,0.839874722427,85.850221472,True,8.2013092041,1.40194773674,1.05273347799e-05,3,6,True,0.459364801645,0.58178126812,0.337657988071,0.875275790691,-89.9638290405,-68.1552734375,-53.078037262,25.7029972076,52,25128068.1337,90034.4780984,7.02437231143,NOT_AVAILABLE,62.5467536027,-25.5106707045,326.069938533,25.8697897118,0.000159218460021
2369,212121.56,+101956.6,21214+1020,A   617,14893.0,203345.0,105431.0,7.5,,7.5,,6.03,y,,0.097,a,,135.0,,288.0,,,1991.9,y,,0.86,,23.0,,2000.0,,1,n,Sod1999,wds21214+1020a.png,2202.410466,320.339833333,10.3323888889,105431,           ,1635378410781933568,1745244292689566976,1507527,2015.0,320.340105578,0.588533972141,10.3321188128,0.597681555567,19.5392774419,0.759389076174,40.4987212862,0.0435209521887,-39.3388979016,0.0460774212061,-0.312994867563,0.479383319616,0.560623347759,-0.183414891362,-0.52092730999,-0.18086849153,0.544739484787,0.260939747095,-0.298450171947,0.308156609535,53,53,53,53,0,0,2.81514358521,1.78678425625,3047.05763101,True,17.3464660645,0.30287566781,1.68352817127e-05,3,8,False,0.553968071938,0.0561689175665,0.355480581522,0.895708799362,-82.0787124634,53.4008827209,-55.7759284973,26.9030246735,68,38917321.5213,23986.5779883,6.54941270791,NOT_AVAILABLE,61.9230635384,-26.8070772371,326.319527631,24.475870068,0.000145219396407
2412,214554.14,+115236.6,21459+1153,A  1223AB,15300.0,207033.0,107461.0,9.77,,9.6,,44.046,y,1.374,0.123,a,0.018,160.7,40.4,14.8,,8.3,1972.549,y,1.175,0.324,0.107,154.1,8.8,2000.0,1998.0,2,n,FMR2010f,wds21459+1153a.png,16087.4579412,326.475583333,11.8768333333,107461,           ,1635378410781933568,1766331551320456448,387696,2015.0,326.475061731,0.474594522034,11.8762947752,0.336983880985,7.01070014706,0.42852419512,-79.8986383592,0.0732950850011,-81.3503768671,0.0711690007107,-0.489798605442,0.332406967878,0.258445620537,-0.143361777067,-0.459126144648,-0.145368367434,0.203287258744,0.0536761507392,-0.141232326627,0.234449803829,36,36,36,36,0,0,6.67527723312,0.852923934957,202.795954187,True,8.32685375214,1.34474539757,1.16569235615e-05,3,6,False,0.337267547846,0.530493319035,0.417401880026,0.92226421833,-98.027130127,22.0151576996,-37.4644470215,30.6524353027,52,5870532.58462,3319.43808716,8.60307630643,NOT_AVAILABLE,67.6533109176,-30.4605948165,333.092369974,23.8163653991,0.0002671233057
