,dec,ra,Seq,N,RAJ2000,DEJ2000,Comp,mag1,n_mag1,mag2,n_mag2,Sp1,Sp2,Name,Simbad,N.1,o,Per,f_Per,e_Per,e,f_e,e_e,K1,K2,V0,rms1,rms2,Grade,Ref,Details,tgas_hip,tgas_tycho2_id,tgas_solution_id,tgas_source_id,tgas_random_index,tgas_ref_epoch,tgas_ra,tgas_ra_error,tgas_dec,tgas_dec_error,tgas_parallax,tgas_parallax_error,tgas_pmra,tgas_pmra_error,tgas_pmdec,tgas_pmdec_error,tgas_ra_dec_corr,tgas_ra_parallax_corr,tgas_ra_pmra_corr,tgas_ra_pmdec_corr,tgas_dec_parallax_corr,tgas_dec_pmra_corr,tgas_dec_pmdec_corr,tgas_parallax_pmra_corr,tgas_parallax_pmdec_corr,tgas_pmra_pmdec_corr,tgas_astrometric_n_obs_al,tgas_astrometric_n_obs_ac,tgas_astrometric_n_good_obs_al,tgas_astrometric_n_good_obs_ac,tgas_astrometric_n_bad_obs_al,tgas_astrometric_n_bad_obs_ac,tgas_astrometric_delta_q,tgas_astrometric_excess_noise,tgas_astrometric_excess_noise_sig,tgas_astrometric_primary_flag,tgas_astrometric_relegation_factor,tgas_astrometric_weight_al,tgas_astrometric_weight_ac,tgas_astrometric_priors_used,tgas_matched_observations,tgas_duplicated_source,tgas_scan_direction_strength_k1,tgas_scan_direction_strength_k2,tgas_scan_direction_strength_k3,tgas_scan_direction_strength_k4,tgas_scan_direction_mean_k1,tgas_scan_direction_mean_k2,tgas_scan_direction_mean_k3,tgas_scan_direction_mean_k4,tgas_phot_g_n_obs,tgas_phot_g_mean_flux,tgas_phot_g_mean_flux_error,tgas_phot_g_mean_mag,tgas_phot_variable_flag,tgas_l,tgas_b,tgas_ecl_lon,tgas_ecl_lat,tgas_match_distance
522,-14.68617,116.36971,475,N,07 45 28.73,-14 41 10.2,B    , 6.890,V, 7.320,V,A8V             ,A8V       ,HIP 37842                    ,Simbad,N,1,1.6607, ,            ,0.05, ,      , 130.00, 130.90,  31.00,       ,       ,4.0,1984A&A...132..219V                                ,Details,37842,           ,1635378410781933568,3029552111060082048,1363602,2015.0,116.36969495,0.219082765467,-14.6862449294,0.207582073981,11.968513441,0.334409628788,-9.36906999258,0.444581909435,-19.5564887036,0.391169258592,-0.169985488057,-0.133564054966,-0.141077294946,0.0930524989963,-0.0280529689044,0.0850968062878,-0.336544245481,0.207511886954,-0.187735289335,-0.301013469696,169,169,169,167,0,2,4.75200462341,1.04692841871,262.688198431,True,10.1960487366,0.905242502689,1.33632629513e-05,3,19,False,0.422746866941,0.192743614316,0.137533277273,0.173084139824,-86.2717437744,31.1055088043,-23.4043884277,-32.2670555115,155,29894143.1366,261061.835675,6.83580478974,NOT_AVAILABLE,232.193986412,4.90600236344,121.74981553,-35.2642765304,2.53422426718e-05
534,41.78467,119.83621,485,N,07 59 20.69,+41 47 04.8,     , 9.120,V,      , ,G5III           ,          ,HD 65195                     ,Simbad,N,1,37.8999, ,            ,0.0, ,      ,  37.20,       ,  11.60,       ,       ,4.0,1985MNRAS.212..663G                                ,Details,-2147483648,2968-1608-1,1635378410781933568,922343539621803136,372048,2015.0,119.836223991,0.357672128695,41.784670265,0.0950354410833,2.02378133491,0.57618993006,-1.27556642079,0.519709131746,1.17065046828,0.756486378485,0.0170291941613,-0.948303103447,-0.146566286683,-0.142139554024,-0.159663334489,-0.719532728195,0.684599936008,0.287449598312,-0.0460154414177,-0.90281111002,64,64,63,62,1,2,,0.253582530278,59.0059195104,True,2.6533882618,13.8992319107,1.85683820746e-05,5,8,True,0.78827226162,0.278304457664,0.246314719319,0.478949546814,-163.422042847,19.3354320526,12.0485248566,-29.1139392853,61,5036118.88339,7980.60167381,8.76953012989,NOT_AVAILABLE,178.235396795,29.8416177589,113.370504114,20.735788839,1.64090285526e-05
538,57.27364,120.64908,488,N,08 02 35.78,+57 16 25.1,     , 6.490,V,      , ,G0              ,          ,HIP 39348                    ,Simbad,N,2,11.0679, ,      0.0000,0.1253, ,0.0014,  60.03,  59.70,  27.51,       ,       ,5.0,1998AJ....115.1153F                                ,Details,39348,           ,1635378410781933568,1081566567218985472,1057670,2015.0,120.648814976,0.278613612152,57.2733792133,0.283407938193,9.8505784765,0.451906501641,-36.692535717,0.023415006297,-59.3452335302,0.0194150297379,0.410301685333,-0.768877923489,0.481739223003,0.256720870733,-0.536404788494,0.196208924055,0.617940485477,-0.368366628885,-0.335734128952,0.120008580387,78,78,78,74,0,4,0.953337013721,0.797864871429,185.39671683,True,7.79734325409,1.54073131084,2.42063870246e-05,3,11,False,0.569585263729,0.294346868992,0.529665470123,0.494825750589,-128.514892578,88.854598999,12.3967647552,-24.6065120697,92,49484308.0746,48724.1992174,6.28860130878,NOT_AVAILABLE,160.328281896,32.0461674536,109.899370513,35.9324433381,1.65803891556e-05
541,15.17831,120.62875,490,N,08 02 30.90,+15 10 41.9,     , 8.900,V,      , ,K4III           ,          ,HIP 39341                    ,Simbad,N,2,96.67, ,      0.0090,0.054, ,0.0070,  37.06,       ,  45.90,   1.21,       ,5.0,2002A&A...387..850I                                ,Details,39341,           ,1635378410781933568,654808514925579264,229036,2015.0,120.628709448,0.258516009361,15.1782931989,0.114234265857,1.60478862031,0.277397661265,-7.49033580882,0.0844771740726,-4.42239897702,0.0704987665214,-0.21287022531,-0.210150197148,0.0962343513966,-0.00280377757736,0.0645090863109,-0.0180281084031,0.0343181602657,0.0310232881457,-0.0584932714701,-0.283100694418,123,123,122,120,1,3,9.85126781464,0.522053349501,169.262448834,True,2.24474716187,3.39104676247,8.54017525853e-06,3,14,False,0.38891735673,0.64985281229,0.199315354228,0.0975171998143,-157.083892822,9.04082107544,-40.9849090576,-8.57353687286,112,9694346.22747,46593.2118657,8.0584737483,NOT_AVAILABLE,206.801425486,22.4280179555,119.584681954,-5.17069113152,8.09295157859e-06
546,41.80047,121.92321,494,N,08 07 41.57,+41 48 01.7,     , 9.600,P,10.400,P,F5              ,          ,HIP 39771                    ,Simbad,N,2,0.6441, ,            ,0.0, ,      , 116.73, 222.75,  32.39,  11.20,  19.10,4.0,2001AJ....122..402L                                ,Details,39771,           ,1635378410781933568,921886348942516864,818744,2015.0,121.9231104,0.287632653965,41.8003304989,0.277328314238,2.43939035894,0.408444596235,-18.6604077222,0.0929674350974,-36.6250633904,0.048389354762,-0.25839650631,-0.14884403348,0.0860228836536,-0.071501865983,-0.249622315168,-0.0535736456513,0.232871681452,0.0274556223303,-0.0618722960353,0.037267472595,116,116,116,109,0,7,3.59521102905,1.22102068413,990.940466136,True,11.8763790131,0.647276997566,2.48530013778e-05,3,13,False,0.319914460182,0.317042708397,0.188006848097,0.568687796593,-146.085494995,40.8237953186,-5.60671472549,-28.9475975037,115,2334222.4331,43603.9177724,9.60441446749,NOT_AVAILABLE,178.546127934,31.3744110466,114.992183913,21.0910980547,1.35634222744e-05
555,35.93931,123.95254,503,N,08 15 48.61,+35 56 21.5,     , 8.910,V,      , ,G8III           ,          ,HIP 40470                    ,Simbad,N,1,225.44, ,            ,0.37, ,      ,  33.10,       ,  -5.50,       ,       ,4.0,1985MNRAS.212..663G                                ,Details,40470,           ,1635378410781933568,907484739484293632,1643777,2015.0,123.952520804,0.274618349609,35.9392861913,0.303883125185,3.39845679661,0.274781727774,-7.41606978548,0.0878907954874,-3.12220293903,0.0470301932057,-0.822578668594,0.105759516358,0.101189687848,-0.245217531919,-0.289408415556,-0.138270378113,0.272303909063,0.0854699835181,-0.0627478063107,-0.0535721220076,80,80,80,78,0,2,1.98637616634,0.4658490383,147.968759057,True,4.62445163727,4.28424882889,1.89935744856e-05,3,10,True,0.527182400227,0.833569347858,0.356162130833,0.531686365604,-144.839675903,47.2925758362,-23.5005321503,-36.9560928345,77,6020113.64115,4241.45388367,8.57575834016,NOT_AVAILABLE,185.655318527,31.7996441142,118.022323952,15.7446197528,1.87755915563e-05
570,-6.31878,127.92254,518,N,08 31 41.41,-06 19 07.6,     , 9.480,V,10.030,V,F4              ,F5        ,HIP 41834                    ,Simbad,N,1,2.9043, ,            ,0.0, ,      ,  94.30, 103.90,   0.00,       ,       ,3.0,1965ApJ...141..126P                                ,Details,41834,           ,1635378410781933568,5755010401431461120,1485790,2015.0,127.922550649,0.177778530713,-6.31871883974,0.219768377982,6.93559562876,0.234912823983,-0.906732208263,0.0989005370247,11.6979855315,0.0905548904607,-0.499157041311,-0.334467887878,-0.0169518310577,-0.0815026536584,0.509031236172,0.0101033281535,0.147606819868,0.110746353865,0.0679647549987,-0.309445828199,61,61,58,60,3,1,0.0639751628041,0.301957183094,101.660327882,True,3.09271883965,9.52224063873,1.93922096514e-05,3,9,False,0.355718642473,0.452690541744,0.155356809497,0.903060793877,177.555114746,54.8748893738,45.1755599976,-23.6215763092,77,4854290.40569,2243.2400795,8.80945567824,NOT_AVAILABLE,230.782235345,18.9375522074,132.120322568,-24.3842587119,1.89870294506e-05
571,-47.66594,127.79704,519,N,08 31 11.29,-47 39 57.4,     , 8.600,V, 8.930,V,K0III           ,B8V       ,HIP 41784                    ,Simbad,N,1,96.1078, ,            ,0.0, ,      ,  42.60,       ,  12.00,       ,       ,3.0,1964MNRAS.127..105W                                ,Details,41784,           ,1635378410781933568,5515494575146063360,900919,2015.0,127.796982557,0.193242544914,-47.665934085,0.269847520294,1.18330287622,0.3148029517,-5.11507226974,0.0583853398698,3.32283206545,0.0569210671132,-0.211173295975,-0.238932624459,0.107645094395,-0.048048608005,0.748398184776,-0.000515190477017,0.195999652147,0.0079779913649,0.161567673087,-0.017944144085,97,97,97,94,0,3,0.596731424332,0.681985188653,365.953077975,True,6.68505716324,2.01448082924,9.87459407042e-06,3,14,False,0.35504385829,0.0589299574494,0.141239151359,0.55072748661,-81.6803359985,22.1968917847,9.85800457001,-13.4297618866,102,7884074.61818,105890.755335,8.28289324891,NOT_AVAILABLE,265.136056028,-4.83966019315,154.803024765,-62.8618609424,1.90966916873e-05
575,6.62022,128.96242,523,N,08 35 50.98,+06 37 12.8,Aa   , 5.990,V,      , ,F5              ,          ,HIP 42172                    ,Simbad,N,1,14.296, ,            ,0.28, ,      ,  22.70,       ,  24.20,       ,       ,3.0,1919ApJ....50..391J                                ,Details,42172,           ,1635378410781933568,594989344298318336,489979,2015.0,128.961859954,0.441757718719,6.61965928947,0.376212764408,38.0520826844,0.510261323656,-130.266117142,0.0598195616067,-133.217044325,0.0474201333707,-0.233976751566,-0.209511682391,0.297714143991,-0.0736397206783,0.00825942587107,-0.0684383735061,0.330712854862,-0.0383179709315,-0.00389769580215,-0.10608971864,59,59,59,58,0,1,5.93747711182,1.38647982996,1685.71881613,True,13.4750003815,0.518251478672,3.88749031117e-05,3,10,False,0.395780980587,0.278931081295,0.140605986118,0.817717969418,-147.215438843,30.3209228516,-17.6183547974,-31.6497364044,79,78120027.9372,275842.912899,5.79286408902,NOT_AVAILABLE,219.118204115,26.2014266724,129.619562012,-11.6229213021,1.46646001747e-05
578,23.56156,129.37554,525,N,08 37 30.13,+23 33 41.6,     ,10.000, ,11.600, ,dF9             ,dG9       ,HIP 42303                    ,Simbad,N,2,10.173, ,      0.0002,0.0,a,      ,  67.50,  70.46,   1.72,   3.22,   1.80,5.0,2002A&A...387..850I                                ,Details,42303,           ,1635378410781933568,666399497785893120,1785064,2015.0,129.375428371,0.207279445699,23.5615637875,0.143565810673,2.63930837046,0.250161030368,-21.6068723032,0.146982229706,-0.866423349394,0.0729628025209,-0.603768348694,0.237144947052,0.000267991126748,-0.047743473202,-0.275030821562,-0.118185825646,-0.0486470907927,0.142601698637,-0.0392145551741,-0.0133788716048,152,152,150,147,2,5,1.3090480566,0.446344391737,182.998666958,True,4.44007205963,4.610704422,2.41375946644e-05,3,21,True,0.163890108466,0.689338982105,0.0716288909316,0.643901646137,7.96833372116,29.543170929,39.1010704041,38.6135520935,174,1904994.66338,6047.55232778,9.82503565537,NOT_AVAILABLE,201.278797173,33.1258303486,125.705364965,4.87026120894,1.43476400035e-05
579,31.79569,129.78558,526,N,08 39 08.54,+31 47 44.5,     , 8.670,V,10.030, ,K1III           ,K3-4III   ,HIP 42432                    ,Simbad,N,1,21.643, ,            ,0.0, ,      ,  17.20, 101.20,  12.20,       ,       ,3.0,1976ApJ...208..142P                                ,Details,42432,           ,1635378410781933568,709587249372597760,1324792,2015.0,129.785559443,0.238628431874,31.7956090994,0.161129661245,2.41606206124,0.308518611336,-4.61106712211,0.12940593065,-17.1518427855,0.0794216026139,-0.394506126642,-0.440981507301,-0.00852852035314,-0.0480581894517,-0.0795391723514,-0.0881155356765,0.0216305684298,0.091931425035,-0.0197249948978,-0.136474996805,133,133,133,131,0,2,0.458147287369,0.688189741655,376.072096145,True,2.83170795441,2.02380990982,1.25158185256e-05,3,42,False,0.289596498013,0.547054767609,0.342596679926,0.381781160831,-133.516479492,29.1697597504,-5.26543903351,44.6373710632,311,5040454.47825,96791.729276,8.76859582169,NOT_AVAILABLE,191.76499229,35.6474352202,123.918715636,12.921393431,9.59384963125e-06
581,19.54147,129.99071,528,N,08 39 57.77,+19 32 29.3,C    , 7.540,V,      , ,Am              ,Am        ,BD +20 2153                  ,Simbad,N,1,12.9117, ,            ,0.2, ,      ,  64.00,  65.60,  32.10,       ,       ,3.0,1931ApJ....74..201S                                ,Details,-2147483648,1395-1993-1,1635378410781933568,661268248817325312,1488495,2015.0,129.9905508,0.380415655668,19.5414242443,0.257124158242,5.5813402663,0.400612343085,-34.8191003856,0.31951057003,-13.301629421,0.272197415348,-0.755203962326,-0.513761818409,-0.0250442381948,-0.0144003722817,0.246150523424,-0.116957463324,-0.256802201271,0.237220570445,0.102018624544,-0.182859510183,107,107,107,103,0,4,,0.736301907807,188.878549583,True,7.20600509644,1.79834079742,7.19507897884e-06,5,14,False,0.62294536829,0.808865189552,0.431431651115,0.627392411232,-156.24772644,33.2246856689,-32.2579078674,36.9759178162,120,16320169.5242,9096.27734437,7.49295839976,NOT_AVAILABLE,206.016262283,32.3441036658,127.283657088,1.12788937433,1.08613596031e-05
583,19.03417,130.98392,530,N,08 43 56.14,+19 02 03.0,     , 8.290,V,10.250,V,B9.5V           ,G8III     ,HIP 42853                    ,Simbad,N,1,9.4845, ,            ,0.0, ,      ,   9.50, 126.70,  10.00,       ,       ,3.0,1984ApJ...285..208P                                ,Details,42853,           ,1635378410781933568,661017766324783360,1858714,2015.0,130.98381742,0.291824683567,19.0341875651,0.271389937128,3.180198362,0.352460306738,-19.4298131464,0.0743234139391,2.44172493119,0.0380526601109,-0.528231978416,0.288794696331,0.159222647548,-0.139523461461,-0.480016559362,-0.0990980193019,0.277391284704,0.118893288076,-0.127798125148,-0.0106851514429,75,75,75,74,0,1,1.55064916611,0.809981849539,395.891648941,True,7.91382646561,1.49194252491,1.0325268704e-05,3,14,False,0.238122969866,0.483029782772,0.372220039368,0.763185322285,-98.8549499512,35.4325218201,-27.1429138184,-40.6895828247,37,1971403.99851,125575.893405,9.78783098114,NOT_AVAILABLE,206.970299803,33.0452596,128.320533774,0.880032129424,1.76369721835e-05
