,dec,ra,Seq,N,RAJ2000,DEJ2000,Comp,mag1,n_mag1,mag2,n_mag2,Sp1,Sp2,Name,Simbad,N.1,o,Per,f_Per,e_Per,e,f_e,e_e,K1,K2,V0,rms1,rms2,Grade,Ref,Details,tgas_hip,tgas_tycho2_id,tgas_solution_id,tgas_source_id,tgas_random_index,tgas_ref_epoch,tgas_ra,tgas_ra_error,tgas_dec,tgas_dec_error,tgas_parallax,tgas_parallax_error,tgas_pmra,tgas_pmra_error,tgas_pmdec,tgas_pmdec_error,tgas_ra_dec_corr,tgas_ra_parallax_corr,tgas_ra_pmra_corr,tgas_ra_pmdec_corr,tgas_dec_parallax_corr,tgas_dec_pmra_corr,tgas_dec_pmdec_corr,tgas_parallax_pmra_corr,tgas_parallax_pmdec_corr,tgas_pmra_pmdec_corr,tgas_astrometric_n_obs_al,tgas_astrometric_n_obs_ac,tgas_astrometric_n_good_obs_al,tgas_astrometric_n_good_obs_ac,tgas_astrometric_n_bad_obs_al,tgas_astrometric_n_bad_obs_ac,tgas_astrometric_delta_q,tgas_astrometric_excess_noise,tgas_astrometric_excess_noise_sig,tgas_astrometric_primary_flag,tgas_astrometric_relegation_factor,tgas_astrometric_weight_al,tgas_astrometric_weight_ac,tgas_astrometric_priors_used,tgas_matched_observations,tgas_duplicated_source,tgas_scan_direction_strength_k1,tgas_scan_direction_strength_k2,tgas_scan_direction_strength_k3,tgas_scan_direction_strength_k4,tgas_scan_direction_mean_k1,tgas_scan_direction_mean_k2,tgas_scan_direction_mean_k3,tgas_scan_direction_mean_k4,tgas_phot_g_n_obs,tgas_phot_g_mean_flux,tgas_phot_g_mean_flux_error,tgas_phot_g_mean_mag,tgas_phot_variable_flag,tgas_l,tgas_b,tgas_ecl_lon,tgas_ecl_lat,tgas_match_distance
1263,37.44533,289.75479,1145,N,19 19 01.15,+37 26 43.2,     , 6.160, ,      , ,A0III           ,          ,HIP 94932                    ,Simbad,N,1,10.3932, ,            ,0.52, ,      ,  60.30,  84.00, -14.90,       ,       ,3.0,1928PDAO....4..179H                                ,Details,94932,            ,1635378410781933568,2051256177043832192,1219364,2015.0,289.754839759,0.604279754052,37.4454245333,0.61443144579,6.87332903821,0.850146076883,6.54007532649,0.0295535735354,16.924269164,0.0302660118417,-0.443333148956,-0.728030443192,0.859283685684,-0.377842485905,0.599224090576,-0.382380276918,0.85331684351,-0.628125905991,0.511068761349,-0.354733139277,80,80,80,79,0,1,114.028083801,1.97686181368,1340.4222637,True,19.1859378815,0.255606234074,2.4419185138e-05,3,13,False,0.176350921392,0.166016921401,0.429907202721,0.533902525902,-113.426963806,87.7661132812,-4.02643823624,-6.5090098381,86,50654323.8992,53015.8648522,6.26322875621,NOT_AVAILABLE,69.495296496,11.093454285,301.165284359,58.765947049,2.69617257127e-05
1264,26.64492,290.03117,1146,N,19 20 07.48,+26 38 41.7,     , 7.550, ,      , ,F5              ,          ,HIP 95028                    ,Simbad,N,1,208.8, ,            ,0.37, ,      ,   4.10,       , -45.60,       ,       ,3.0,1982Obs...102....1G                                ,Details,95028,            ,1635378410781933568,2024289176903544064,598706,2015.0,290.031201623,0.228891131318,26.6446902908,0.295809338817,11.1636920729,0.369001288788,11.5306425865,0.0237399806429,-53.0062977854,0.0355265781475,-0.0610369406641,-0.116118483245,0.389395475388,-0.0199929140508,-0.185293257236,-0.0186530202627,0.317233800888,-0.0539250783622,-0.0724358707666,-0.24240231514,166,166,166,162,0,4,10.1020860672,1.38146455848,1003.76392889,True,13.4265270233,0.518095195293,9.71910594671e-06,3,26,False,0.157811358571,0.256783485413,0.13167142868,0.335829406977,-45.8652877808,82.3182220459,36.7039070129,-22.25831604,212,21252427.6986,7199.87821456,7.20624869542,NOT_AVAILABLE,59.836890732,6.0374702221,297.343828441,48.2001709808,2.16693133451e-05
1267,16.93772,291.09196,1149,N,19 24 22.07,+16 56 15.8,     , 6.250,V,      , ,Am              ,          ,HIP 95398                    ,Simbad,N,1,7.39, ,            ,0.0, ,      ,  52.80,  77.60,  11.20,       ,       ,3.0,1936ApJ....84...85L                                ,Details,95398,            ,1635378410781933568,4322470411141318784,474413,2015.0,291.091942647,0.232311728619,16.9376524059,0.350459807486,7.60926415364,0.429855966161,-6.34577078816,0.0245202833842,-15.6986387672,0.0257775291723,0.359093755484,-0.145156726241,0.392977327108,0.200997203588,-0.272319018841,0.14067786932,0.567654073238,-0.0709079578519,-0.154644593596,0.25937756896,128,128,128,126,0,2,5.08783102036,1.26118290197,1065.81354809,True,12.264295578,0.62191182375,2.44422099058e-05,3,19,False,0.483401328325,0.489030331373,0.121357984841,0.355738162994,-85.5909881592,-69.0292358398,56.1864585876,23.8459815979,149,50539012.6739,25472.0186428,6.26570318053,NOT_AVAILABLE,51.7013293646,0.626425321056,296.090836548,38.4857375311,1.00795539242e-05
1268,39.59044,290.94912,1150,N,19 23 47.79,+39 35 25.6,     , 7.100, ,      , ,K0              ,          ,HIP 95342                    ,Simbad,N,1,1104.0, ,            ,0.19, ,      ,   3.30,       , -19.20,       ,       ,3.0,1986Obs...106...67G                                ,Details,95342,            ,1635378410781933568,2053025325613944064,2049302,2015.0,290.949291107,0.206410551591,39.590592805,0.342029669237,3.53181710492,0.275322280564,29.71733473,0.0303502645824,34.7029851161,0.0338914165384,0.026432165876,-0.0374293588102,0.273922473192,0.00961253698915,0.0264745485038,0.00391583703458,0.414186179638,-0.0364992171526,0.0164506211877,-0.0672042369843,79,79,79,76,0,3,7.52105665207,0.756767719875,349.393861549,True,7.40249300003,1.67175555229,1.56443657033e-05,3,16,False,0.392385274172,0.486036002636,0.0589901916683,0.206138849258,-126.105888367,-88.2138977051,2.31180858612,8.03282737732,127,37299918.4756,13444.8800251,6.59550035735,NOT_AVAILABLE,71.878012808,11.1911162277,304.110724578,60.572760808,1.14879252174e-05
1273,30.54914,292.31437,1155,N,19 29 15.45,+30 32 56.9,     , 7.500, ,      , ,K2III-IV        ,          ,HIP 95808                    ,Simbad,N,1,229.83, ,            ,0.41, ,      ,  15.20,       , -25.70,       ,       ,5.0,1976Obs....96...18R                                ,Details,95808,            ,1635378410781933568,2044713464383355776,1219167,2015.0,292.314419785,0.172230748889,30.5491842369,0.222734238838,3.21793628262,0.259353881724,13.5227368693,0.0343137619449,8.21284034589,0.0476160297421,-0.232680812478,-0.193496838212,0.193757101893,-0.056298173964,0.180721968412,-0.0672421455383,0.160891637206,-0.0726260393858,0.0256224162877,-0.0720245018601,115,115,115,114,0,1,0.386109679937,0.630811271823,216.852634331,True,6.19510126114,2.45495343208,1.06904490167e-05,3,16,False,0.282703787088,0.323768973351,0.338974297047,0.419986724854,-112.590209961,72.5453872681,25.4865531921,-15.89909935,137,26710603.5407,9980.90961636,6.95806081071,NOT_AVAILABLE,64.2500746418,6.07671581118,301.731793889,51.5586997062,1.67863126649e-05
1275,68.93533,291.47937,1157,N,19 25 55.05,+68 56 07.2,     , 9.900,P,10.700,P,F8              ,          ,BD +68 1065                  ,Simbad,N,1,3.2613, ,            ,0.0, ,      ,  92.70, 100.50, -15.30,       ,       ,4.0,1986A&AS...65...97I                                ,Details,-2147483648,4444-1595-1,1635378410781933568,2261658481617561984,1324539,2015.0,291.479469989,0.135320412787,68.9354595937,0.221703483189,5.20582132037,0.253173456669,7.04517524181,0.769713331942,32.9448920659,0.659809519377,0.171884909272,0.0841919258237,-0.20624242723,-0.261770665646,0.647459328175,-0.582117676735,-0.555608808994,-0.807584583759,-0.314010947943,0.139677628875,78,78,77,77,1,1,,0.337540095289,139.740251299,True,3.42088294029,8.14805603027,1.97216377273e-05,5,14,False,0.0465458333492,0.175232216716,0.128425627947,0.222606450319,-105.237503052,80.8868560791,-18.8745250702,19.4100799561,112,2533481.21159,53303.2181455,9.51547584411,NOT_AVAILABLE,100.364813485,22.1832212365,26.0520359425,81.5763046029,1.01127866419e-05
1276,25.12083,292.65558,1158,N,19 30 37.34,+25 07 15.0,     , 7.350,V,      , ,G2Ib            ,          ,HIP 95935                    ,Simbad,N,1,296.0, ,            ,0.0, ,      ,  15.30,       , -23.20,       ,       ,3.0,1983A&A...124..256B                                ,Details,95935,            ,1635378410781933568,2024397410081900288,617577,2015.0,292.655582579,0.214175451611,25.1208056279,0.217267679569,1.77958481462,0.331828336383,-0.094446624119,0.0237172461625,-3.39871343448,0.0365141450209,-0.4786696136,-0.443064749241,0.359774172306,-0.131460815668,0.272106796503,-0.18838699162,0.228899523616,-0.173387601972,0.0559431947768,-0.26610070467,120,120,120,118,0,2,0.89080876112,0.796666094376,381.07679685,True,7.785820961,1.53380358219,1.26485174405e-05,3,23,False,0.0771796703339,0.404869884253,0.182559981942,0.533203482628,50.2840919495,49.9188690186,53.5195388794,-22.5855693817,190,30593750.6417,10856.1401698,6.81068825736,NOT_AVAILABLE,59.5977039546,3.23754601776,300.262087804,46.2082317213,1.0569047527e-05
1281,58.586,292.78321,1162,N,19 31 07.97,+58 35 09.6,     , 6.590,V,      , ,K1V             ,          ,HIP 95995                    ,Simbad,N,2,494.091, ,      0.2630,0.3604, ,0.0078,   9.56,  10.27,  11.31,   0.56,   0.73,5.0,2000A&AS..145..215P                                ,Details,95995,           ,1635378410781933568,2238597049857612160,1084195,2015.0,292.77913676,0.493021073766,58.584346232,0.457072086154,58.3660153597,0.537440432412,-510.820177982,0.0445923375456,-398.751314858,0.0408529536246,-0.467266201973,-0.666280508041,0.461805909872,-0.216983452439,0.485172092915,-0.224529862404,0.459804147482,-0.318687409163,0.219966247678,-0.0857423394918,70,70,63,70,7,0,2.53227758408,1.34025081524,2410.51764244,True,13.0282239914,0.505804002285,2.1045532776e-05,3,15,False,0.578577280045,0.175830751657,0.154198989272,0.143068775535,-110.756378174,52.5661048889,-11.6657304764,32.5820541382,91,49725447.6966,39894.3716824,6.28332330902,NOT_AVAILABLE,90.2542583453,18.0125752967,333.308525931,76.9450382306,9.3274222514e-06
1284,27.88414,294.17742,1164,N,19 36 42.58,+27 53 02.9,     , 7.800, ,      , ,K2III           ,          ,HIP 96467                    ,Simbad,N,2,40.1418, ,      0.0033,0.0,a,      ,  40.99,       , -22.78,       ,       ,5.0,1989AJ.....97.1139F                                ,Details,96467,            ,1635378410781933568,2025408204862691584,1354301,2015.0,294.177435439,0.156860078139,27.8840753946,0.22031199201,2.45985639217,0.252203975193,4.40720087403,0.0403017382845,-14.7142164152,0.0487691516728,-0.2464735955,-0.160033717752,0.13400799036,-0.0658911168575,0.0320872999728,-0.0655779242516,0.160941928625,-0.0658197179437,-0.0025761697907,-0.0186505541205,99,99,98,97,1,2,2.65959835052,0.509109222608,161.096663556,True,2.20024704933,3.59669923782,9.21373884921e-06,3,21,False,0.245016038418,0.404950499535,0.213567569852,0.355887532234,-95.7966842651,72.4156341553,25.8229255676,-15.2460889816,176,21736995.1496,75755.9486231,7.18177129268,NOT_AVAILABLE,62.6803270586,3.37508743284,303.172677802,48.5768606442,5.75459757654e-06
1287,21.34344,294.87779,1167,N,19 39 30.67,+21 20 36.4,     , 7.390,V,      , ,K2              ,          ,BD +21 3863                  ,Simbad,N,1,4937.0, ,            ,0.61, ,      ,   8.80,       , -24.00,       ,       ,3.0,1983Obs...103..145G                                ,Details,-2147483648,1614-553-1 ,1635378410781933568,1826159277523608192,607429,2015.0,294.877820735,0.191657247264,21.3434515389,0.177844698516,2.62250446997,0.295569567746,5.19787290797,0.396701632126,2.52357905656,0.433745532628,-0.280254393816,-0.51212066412,-0.128056392074,0.0395533181727,0.359896123409,-0.113940812647,-0.40912219882,-0.262435734272,-0.105794541538,0.0370343327522,124,124,124,123,0,1,,0.616793517651,352.818090522,True,2.57639837265,2.51492977142,1.32225059133e-05,5,15,False,0.575085818768,0.164727941155,0.263833522797,0.334105163813,-146.84526062,38.5413513184,9.24869728088,-20.0932693481,127,32841380.9643,13984.2207719,6.73371653707,NOT_AVAILABLE,57.285240644,-0.380954546246,301.859993416,42.0702184137,7.04365312691e-06
1290,54.97381,294.67158,1169,N,19 38 41.18,+54 58 25.7,     , 5.860,V, 6.370,V,F5V             ,          ,HIP 96620                    ,Simbad,N,1,7.6408, ,            ,0.54, ,      ,  88.20,  91.10, -16.50,       ,       ,4.0,1987A&A...174..107A                                ,Details,96620,            ,1635378410781933568,2138551215538885376,892505,2015.0,294.671849607,0.30887502298,54.9744679208,0.394898525151,24.7461723836,0.354159359095,34.8844861347,0.0238651478098,162.61081461,0.0253846578619,-0.274972289801,-0.188141390681,0.542298972607,-0.182645455003,0.205009743571,-0.157296523452,0.649505496025,-0.111815355718,0.12838447094,-0.0244434028864,70,70,70,69,0,1,1.50528287888,1.14351149989,918.72321568,True,11.1280031204,0.761655569077,3.77816613764e-05,3,13,False,0.57399058342,0.332552433014,0.141207501292,0.290821939707,-77.7209472656,68.0580291748,22.2583122253,35.3275947571,91,79501471.5791,264251.15657,5.77383214494,NOT_AVAILABLE,87.2517747519,15.5951757393,327.475034777,73.4925197402,2.17536946011e-05
1293,29.26469,296.20304,1172,N,19 44 48.73,+29 15 52.9,AB   , 6.820,V,      , ,F2I             ,          ,HIP 97150                    ,Simbad,N,1,549.2, ,      0.0300,0.349, ,0.0040,  30.40,       , -21.20,       ,       ,4.0,1984A&AS...58..529I                                ,Details,97150,            ,1635378410781933568,2031776198263378560,1131536,2015.0,296.203059484,0.185520915855,29.2646795935,0.210017579987,1.52211197763,0.266497373836,0.0581333239515,0.038888381382,-3.01505296792,0.0546116175675,-0.331768095493,-0.39111828804,0.168241471052,-0.0719797536731,0.180543780327,-0.0893841311336,0.122539319098,-0.112653248012,0.0147077012807,-0.0442211329937,151,151,151,148,0,3,1.1172375679,0.722792134442,290.534427403,True,7.07635784149,1.86100041866,1.34792189783e-05,3,21,False,0.0294976327568,0.336355000734,0.0825131982565,0.282664179802,-96.6188735962,63.0302848816,34.6427536011,-14.7338151932,171,31963704.0404,490769.199094,6.7631273119,NOT_AVAILABLE,64.7602174769,2.50577662081,306.336681258,49.4514052662,1.68934055636e-05
1297,25.00956,297.08996,1176,N,19 48 21.59,+25 00 34.4,     , 7.120,V,      , ,G5Iab-Ib        ,          ,HIP 97446                    ,Simbad,N,1,1901.0, ,            ,0.46, ,      ,  22.50,       , -12.30,       ,       ,4.0,1977Obs....97..169G                                ,Details,97446,            ,1635378410781933568,2020885020190768128,949636,2015.0,297.089958143,0.136309570311,25.0095344779,0.250010751242,0.810669540765,0.325687446016,-0.746127484507,0.0257219067288,-5.03124743309,0.0342602492879,-0.484499245882,-0.333697736263,0.166749984026,-0.163131505251,0.409070521593,-0.124297052622,0.288715779781,-0.0930474177003,0.120038501918,-0.0650999546051,231,231,230,226,1,5,18.5017337799,0.868124400265,440.111093022,True,8.47312927246,1.29673552513,1.75538152689e-05,3,39,False,0.238879576325,0.610852301121,0.221475735307,0.670167088509,79.8443450928,72.9915237427,-49.0394821167,-13.3730249405,323,42486804.8449,14327.1516477,6.45413488418,NOT_AVAILABLE,61.4768650259,-0.314578830234,305.806551905,45.1386694255,4.77651797626e-06
1298,29.40233,297.1745,1177,N,19 48 41.88,+29 24 08.4,     , 6.920,V,      , ,B8III           ,          ,HIP 97472                    ,Simbad,N,1,27.9705, ,            ,0.39, ,      , 105.20,       , -19.60,       ,       ,3.0,1973MNRAS.163..209H                                ,Details,97472,            ,1635378410781933568,2031738402542567296,1857622,2015.0,297.174488071,0.23836773654,29.402306295,0.325447707347,0.944087822104,0.376528154506,0.808409063517,0.021235351551,-5.46377149013,0.0290564935971,-0.227565690875,-0.336359471083,0.464185237885,-0.109905287623,0.191220328212,-0.112506322563,0.4613096416,-0.170569524169,0.0900301337242,-0.125080883503,121,121,121,119,0,2,0.522185742855,1.20338819015,347.364332646,True,11.7060995102,0.681887090206,1.07212836156e-05,3,21,True,0.231919839978,0.364570200443,0.206902787089,0.405221670866,-122.962501526,76.9705505371,22.9915447235,-8.92947864532,168,28372224.2844,41724.5035984,6.89253660304,NOT_AVAILABLE,65.3048483292,1.84249614047,307.64612147,49.351243571,1.37932067218e-05
1299,33.43728,297.21083,1178,N,19 48 50.60,+33 26 14.2,     , 6.440,V,      , ,B0.5Ib          ,B2V       ,HIP 97485                    ,Simbad,N,1,13.3739, ,            ,0.32, ,      , 102.90, 206.00,  10.80,       ,       ,3.0,1984A&A...139..123H                                ,Details,97485,            ,1635378410781933568,2034968870783112832,205817,2015.0,297.21080683,0.282808877807,33.4372610048,0.350798264013,0.46871950579,0.443650713088,-3.57085086553,0.0187236724614,-5.47698098187,0.0235889322852,-0.422453612089,-0.513155937195,0.631703794003,-0.26331242919,0.552936017513,-0.2732886374,0.617588877678,-0.333385497332,0.341398507357,-0.175273194909,140,140,140,134,0,6,3.47242188454,1.3886537644,459.350488488,True,13.4960126877,0.517051875591,2.09746212931e-05,3,20,False,0.187710523605,0.262436687946,0.309435665607,0.560316085815,-128.309066772,66.9085769653,22.0242938995,-7.57510185242,148,45016584.0345,60704.0948322,6.3913387223,NOT_AVAILABLE,68.8087522252,3.85148557891,309.572119906,53.2026598099,5.87364708958e-06
1301,40.59975,297.65554,1180,N,19 50 37.33,+40 35 59.1,     , 5.610,V, 5.780,V,B1.5II-III      ,B2V       ,HIP 97634                    ,Simbad,N,1,12.4256, ,            ,0.22, ,      ,  92.80, 160.70,  -6.10,       ,       ,5.0,1984A&A...141...39H                                ,Details,97634,            ,1635378410781933568,2073743835537822336,1040168,2015.0,297.655511225,0.518029770548,40.5997260894,0.754062826247,0.685399463718,0.695915281714,-3.10329172381,0.0244332352601,-7.88000822504,0.0345034266077,0.0207616761327,0.0057958913967,0.892069160938,0.0189206432551,0.19526194036,0.0179917197675,0.919787049294,0.00375108118169,0.179809272289,-0.000567103154026,86,86,86,85,0,1,14.29890728,2.67188876059,3162.00865087,True,25.9154033661,0.13767388463,3.64451152564e-05,3,14,False,0.52833455801,0.320335060358,0.192191138864,0.330950170755,-96.7506942749,-87.8306274414,25.267621994,5.51296043396,98,85698586.0821,296529.450137,5.69233592215,NOT_AVAILABLE,75.2155623306,7.13281782477,314.536190938,59.8356409881,1.261492628e-05
1303,-23.94108,298.57396,1182,N,19 54 17.75,-23 56 27.9,     , 6.160,V,      , ,K3V             ,K3V       ,HIP 97944                    ,Simbad,N,1,46.817, ,            ,0.69, ,      ,  48.80,  48.70,  -5.10,       ,       ,3.0,1983ApJ...267..682F                                ,Details,97944,           ,1635378410781933568,6863535894251476096,793166,2015.0,298.573371315,0.476849765043,-23.9427832826,0.220299556491,70.6258929489,0.522017750699,-123.967271054,0.0315645525694,-410.6096849,0.0174029497442,-0.000669471977744,0.0968035906553,0.635369062424,-0.0031674480997,-0.0441147759557,-0.00174874556251,0.533034682274,0.0526111274958,-0.0287134218961,0.217377945781,113,113,113,112,0,1,11.2810821533,1.39731393985,488.288036761,True,13.5797176361,0.510558664799,3.28879395965e-05,3,13,False,0.347274303436,0.645900726318,0.262394249439,0.461731016636,-9.09753894806,-0.234080344439,-0.288336604834,13.313170433,107,74412472.115,246176.392845,5.8456557318,NOT_AVAILABLE,17.1709332172,-23.9128744566,295.960091393,-3.04188660507,2.27997039258e-05
1304,-68.76258,299.72079,1183,N,19 58 52.99,-68 45 45.3,     , 6.380,V,      , ,A3p             ,A         ,HIP 98346                    ,Simbad,N,1,14.9859, ,            ,0.56, ,      ,  42.90,  64.30, -18.10,       ,       ,3.0,1967RGOB..130..355B                                ,Details,98346,           ,1635378410781933568,6423735469389669888,1025278,2015.0,299.721185277,0.363978617876,-68.7628885711,0.754619810795,9.91432765755,0.666564036635,36.1463510899,0.0200860802474,-73.4131617264,0.0378018844253,-0.478639930487,0.454280555248,0.762943565845,-0.403924047947,-0.522073626518,-0.365292906761,0.840784609318,0.343414723873,-0.439095765352,-0.496505796909,104,104,104,102,0,2,0.612190127373,1.89555582711,416.41195399,True,18.3990325928,0.275295466185,2.14264764509e-05,3,18,True,0.0337522476912,0.648985028267,0.158162251115,0.038860283792,36.5777702332,78.9459152222,-50.1272659302,17.8122234344,151,46711354.8648,53789.0837406,6.35121390334,NOT_AVAILABLE,326.849118061,-31.2335452014,285.235231167,-46.8900856757,7.89912539936e-06
1305,29.98908,298.83342,1184,N,19 55 20.02,+29 59 20.7,     , 8.000, ,      , ,K3III           ,          ,HIP 98039                    ,Simbad,N,1,295.36, ,            ,0.12, ,      ,  21.70,       ,  12.60,       ,       ,4.0,1979JRASC..73..266G                                ,Details,98039,            ,1635378410781933568,2030314157030094208,1124478,2015.0,298.833430455,0.23286777316,29.9890352655,0.398919770709,2.47483832719,0.390215954933,-1.19735264872,0.0393332677711,-9.95243447978,0.0470650272968,-0.231509283185,-0.275568634272,0.224594861269,-0.0897296369076,-0.0878986120224,-0.0682450979948,0.331155925989,-0.0974840894341,-0.0271631367505,-0.0775830969214,106,106,106,106,0,0,1.25378477573,1.17906965277,702.546879062,True,11.4712820053,0.700391530991,7.64858032198e-06,3,18,False,0.108916468918,0.568876326084,0.142591014504,0.262505471706,-143.230560303,77.5839004517,43.086391449,-12.5988130569,148,18015801.3269,6553.85803229,7.38563610403,NOT_AVAILABLE,66.5464185814,0.904258157448,310.027445476,49.4994649808,1.44187622949e-05
1306,16.63481,299.00525,1185,N,19 56 01.26,+16 38 05.3,     , 5.360,V,      , ,F6Ib-G5Ib       ,          ,HIP 98085                    ,Simbad,N,1,676.2, ,            ,0.25, ,      ,  15.00,       , -10.00,       ,       ,5.0,1952ApJ...116..348H                                ,Details,98085,           ,1635378410781933568,1820309635152779520,1690767,2015.0,299.005263702,0.500593238222,16.634765292,0.493395363327,1.5290053343,0.870066480138,-0.0365812953853,0.0338987706026,-7.64321308907,0.0320958712929,-0.0915050804615,-0.253575861454,0.617698013783,-0.0609433688223,0.383187711239,-0.0615114532411,0.641587257385,-0.164265036583,0.244524687529,0.227578148246,130,130,130,128,0,2,3.69485998154,2.6054258504,3348.06510891,True,25.2717323303,0.143099397421,4.71765815746e-05,3,17,False,0.344152063131,0.0438178256154,0.0300259422511,0.382810294628,-134.822418213,-8.77496528625,-0.160798951983,13.8335151672,141,110023374.133,1558234.50898,5.42105766507,NOT_AVAILABLE,55.1682124576,-6.11923416727,305.350304587,36.5820901347,1.84878007015e-05
1315,73.61597,299.11987,1195,N,19 56 28.77,+73 36 57.5,     , 9.100,V,      , ,F5V             ,F5V       ,HIP 98118                    ,Simbad,N,1,3.364, ,            ,0.0, ,      ,  99.10,  99.20,   2.20,       ,       ,4.0,1971ApJ...166..361P                                ,Details,98118,           ,1635378410781933568,2287962819842934912,1510166,2015.0,299.11974044,0.149731926147,73.6159548882,0.454737062868,5.12645204936,0.256848544085,-9.01694399918,0.0544502711843,-5.39747998462,0.0565792753674,0.573657631874,0.376750737429,0.0741062387824,0.215298354626,0.786594867706,0.00307624624111,0.355892151594,-0.065475217998,0.304690659046,-0.0930971056223,34,34,32,34,2,0,1.89129197598,0.261115388987,76.2012334154,True,2.72115302086,13.0760412216,2.04317348107e-05,3,5,True,0.166273668408,0.730399429798,0.446763306856,0.586735546589,142.864517212,-74.054901123,-14.9323596954,26.3467235565,33,4115825.86687,17529.8949973,8.98862758317,NOT_AVAILABLE,106.006546971,21.5415115629,48.5703077324,78.0272264387,7.44858983489e-06
1318,15.50042,301.36062,1198,N,20 05 26.55,+15 30 01.5,A    , 6.340,V,      , ,M2.5III.        ,          ,HIP 98954                    ,Simbad,N,1,198.716, ,            ,0.05, ,      ,  13.00,       ,-111.70,       ,       ,3.0,1982A&A...105..318L                                ,Details,98954,           ,1635378410781933568,1807845674413264384,193976,2015.0,301.360754674,0.351559014513,15.5005282066,0.287865293605,5.17727265672,0.704839224791,33.5653147319,0.0395535054627,24.0648843723,0.034696804753,-0.0247888956219,0.0742656439543,0.364454716444,-0.0111856646836,0.598970353603,-0.0203009750694,0.334058076143,0.0138012226671,0.20554472506,0.117802374065,147,147,142,138,5,9,67.2550354004,1.56296727246,2714.46004171,True,15.1813411713,0.404115796089,4.05072096328e-05,3,24,True,0.481692880392,0.405476301908,0.329523801804,0.611999392509,-151.167144775,5.94075965881,-54.4746780396,11.5967693329,171,105689509.42,196480.140019,5.46469035874,NOT_AVAILABLE,55.3655778753,-8.64336677602,307.709221806,34.9250914406,1.28291995279e-05
1320,31.97169,301.36537,1200,N,20 05 27.69,+31 58 18.1,     , 8.520,V, 9.060,V,A3V             ,(F2)      ,HIP 98955                    ,Simbad,N,1,2.347, ,            ,0.3, ,      , 104.00, 138.00, -10.00,       ,       ,3.0,1968ApJ...154..191P                                ,Details,98955,            ,1635378410781933568,2031022208159606784,102983,2015.0,301.365394733,0.205885708601,31.9716917096,0.195126292491,4.12357456816,0.275500657172,5.12952898837,0.0433510421678,-1.28219128074,0.0578459200251,-0.358348190784,-0.444671958685,0.174331873655,-0.0767035782337,0.0826185941696,-0.0938780754805,0.10230243206,-0.117670498788,0.00443005142733,-0.0727339014411,93,93,93,89,0,4,0.537835478783,0.579680265768,238.847440748,True,5.70659589767,2.83122038841,1.86502238648e-05,3,13,False,0.306951522827,0.367807805538,0.207994416356,0.20784445107,-119.676727295,49.4811210632,53.1188812256,-9.98686027527,96,6099551.00973,64687.333622,8.56152539483,NOT_AVAILABLE,69.3751542579,0.103655985879,314.206174678,50.7084524457,7.06292826033e-06
1322,35.386,301.54146,1202,N,20 06 09.95,+35 23 09.6,     , 8.040,V,      , ,B1.2Ib          ,O8.9V     ,HIP 99021                    ,Simbad,N,1,6.5197, ,            ,0.04, ,      , 214.80, 168.00, -16.10,       ,       ,4.0,1955PDAO...10..259P                                ,Details,99021,            ,1635378410781933568,2059011376158159488,536559,2015.0,301.541434892,0.155444968556,35.3859772315,0.180849131066,0.336222950718,0.225990870744,-3.23245431849,0.105859373993,-6.51739494841,0.111842920302,-0.277505785227,-0.40172123909,-0.0119653036818,-0.0427192002535,0.344578683376,-0.0952221304178,-0.0129368063062,-0.143333956599,0.00025134391035,-0.0981000140309,114,114,114,113,0,1,1.21007072926,0.349744644151,97.1069717842,True,3.53417253494,7.23505973816,8.84837572812e-06,3,16,False,0.208189874887,0.219194442034,0.25477206707,0.430811107159,-83.7972259521,65.7389373779,35.4198608398,0.45383515954,123,9934655.34673,192953.281885,8.03188805096,NOT_AVAILABLE,72.3348788214,1.81301926616,316.328844013,53.8700475408,8.26239587471e-06
1323,35.74064,301.64571,1203,N,20 06 34.97,+35 44 26.3,     , 8.300,V, 8.730,V,B0.5IV          ,B0.5IV    ,BD +35 3964                  ,Simbad,N,1,3.8797, ,            ,0.07, ,      , 181.80, 237.40, -15.00,       ,       ,3.0,1941PAAS...10..233P                                ,Details,-2147483648,2683-3326-1 ,1635378410781933568,2059095420078224768,535211,2015.0,301.645676326,0.183239591041,35.7406030344,0.285526468905,0.683162376468,0.28766071072,-3.09726198096,0.515628427566,-7.18253093048,0.463432715348,-0.0220103356987,-0.0685694441199,-0.255424976349,-0.0432050041854,0.291515469551,-0.142474278808,-0.143461674452,-0.406149625778,-0.045030657202,0.134219437838,92,92,92,90,0,2,,0.70482244786,170.981167458,True,6.90398597717,1.95233213902,1.1348111002e-05,5,13,False,0.413137108088,0.422760814428,0.276197195053,0.512186706066,-107.799064636,89.4597549438,15.5945463181,4.53178691864,96,8244268.24817,22192.5556978,8.23438977832,NOT_AVAILABLE,72.6796897386,1.93210943506,316.677916455,54.1715340948,1.60525941142e-05
