##
## Kepler Eclipsing Binary Catalog
## Revision Date (Y/M/D): Aug. 9, 2016, 10:12 a.m.
## Download Date (Y/M/D): 2016/10/17
##
## Query String: {&quot;sort&quot;:&quot;p&quot;,&quot;kics&quot;:[],&quot;campaign&quot;:[&quot;5&quot;,&quot;4&quot;,&quot;1&quot;,&quot;0&quot;,&quot;3&quot;,&quot;2&quot;,&quot;-1&quot;],&quot;etvlong&quot;:true,&quot;cols&quot;:[&quot;sdepth&quot;,&quot;glon&quot;,&quot;scdata&quot;,&quot;camp&quot;,&quot;pteff&quot;,&quot;ra&quot;,&quot;bjd0&quot;,&quot;flags&quot;,&quot;morph&quot;,&quot;glat&quot;,&quot;n&quot;,&quot;pdepth&quot;,&quot;kic&quot;,&quot;lcdata&quot;,&quot;dec&quot;,&quot;koiid&quot;,&quot;keff&quot;,&quot;cteff&quot;,&quot;p&quot;,&quot;sep&quot;,&quot;pwidth&quot;,&quot;swidth&quot;,&quot;bjd0err&quot;,&quot;perr&quot;,&quot;kmag&quot;],&quot;etvshort&quot;:true,&quot;ra&quot;:{&quot;max&quot;:360.0,&quot;min&quot;:0.0},&quot;incat1&quot;:true,&quot;kois&quot;:[]}
##
EPIC,camp,KOI,Mult,period,period_err,bjd0,bjd0_err,pdepth,sdepth,pwidth,swidth,sep,morph,ra,dec,GLon,GLat,kmag,Teff,Teff(Pinsonneault),Teff(Casagrande),SC,
211957146,K2C5,-1,1,0.3550401,0.0000175,2457139.916370,0.020683,0.3013,0.2996,0.2081,0.1979,0.5007,0.83,131.4765,19.5827,-1.0000,-1.0000,12.6030,-1.0000,-1.0000,-1.0000,False,
60017816,K2E,-1,1,0.3557351,0.0005436,55001.015344,0.020517,0.4019,0.3731,0.1526,0.1343,0.5106,0.80,352.9140,-2.7017,-1.0000,-1.0000,13.0000,-1.0000,-1.0000,-1.0000,False,
211361880,K2C5,-1,1,0.3587480,-1,2457139.944180,0.020243,0.2437,0.2172,0.0896,0.1476,0.5016,0.80,129.4472,11.0209,-1.0000,-1.0000,12.8280,-1.0000,-1.0000,-1.0000,False,
211413815,K2C5,-1,1,0.3605263,0.0000180,2457140.058610,0.021424,0.2753,0.2412,0.2210,0.1151,0.4826,0.85,132.9077,11.8492,-1.0000,-1.0000,13.4950,-1.0000,-1.0000,-1.0000,False,
201826968,K2C1,-1,1,0.3617589,0.0000161,1974.234886,0.030982,0.1927,0.1630,0.1451,0.1675,0.5075,0.81,178.3651,5.8594,-1.0000,-1.0000,11.6430,-1.0000,-1.0000,-1.0000,False,
202073361,K2C0,-1,1,0.3618340,0.0000571,56774.408956,0.020925,0.4278,0.3895,0.1419,0.1477,0.4991,0.76,90.2508,23.9372,-1.0000,-1.0000,11.1000,-1.0000,-1.0000,-1.0000,False,
60017809,K2E,-1,1,0.3636854,0.0005436,55001.155669,0.024906,0.2507,0.2277,0.1803,0.1696,0.4962,0.87,352.3881,-3.7688,-1.0000,-1.0000,11.5140,-1.0000,-1.0000,-1.0000,False,
211312968,K2C5,-1,1,0.3696251,0.0000187,2457139.907380,0.024565,0.0513,0.0369,0.2365,0.2492,0.5020,0.88,133.7242,10.1130,-1.0000,-1.0000,12.6380,-1.0000,-1.0000,-1.0000,False,
211338746,K2C5,-1,1,0.3697313,0.0000187,2457139.753600,0.011772,0.1941,0.1998,0.1455,0.1428,0.5015,0.66,126.2686,10.6089,-1.0000,-1.0000,14.8680,-1.0000,-1.0000,-1.0000,False,
202073353,K2C0,-1,1,0.3712410,0.0000589,56774.705574,0.027115,0.0241,0.0206,0.1423,0.1023,0.4910,0.74,92.6719,27.3944,-1.0000,-1.0000,11.6000,-1.0000,-1.0000,-1.0000,False,
