,EPIC,KIC,WDS,period,sb9_id,tgas_astrometric_delta_q,tgas_astrometric_excess_noise,tgas_astrometric_excess_noise_sig,tgas_astrometric_n_bad_obs_ac,tgas_astrometric_n_bad_obs_al,tgas_astrometric_n_good_obs_ac,tgas_astrometric_n_good_obs_al,tgas_astrometric_n_obs_ac,tgas_astrometric_n_obs_al,tgas_astrometric_primary_flag,tgas_astrometric_priors_used,tgas_astrometric_relegation_factor,tgas_astrometric_weight_ac,tgas_astrometric_weight_al,tgas_b,tgas_dec,tgas_dec_error,tgas_dec_parallax_corr,tgas_dec_pmdec_corr,tgas_dec_pmra_corr,tgas_duplicated_source,tgas_ecl_lat,tgas_ecl_lon,tgas_hip,tgas_l,tgas_match_distance,tgas_matched_observations,tgas_parallax,tgas_parallax_error,tgas_parallax_pmdec_corr,tgas_parallax_pmra_corr,tgas_phot_g_mean_flux,tgas_phot_g_mean_flux_error,tgas_phot_g_mean_mag,tgas_phot_g_n_obs,tgas_phot_variable_flag,tgas_pmdec,tgas_pmdec_error,tgas_pmra,tgas_pmra_error,tgas_pmra_pmdec_corr,tgas_ra,tgas_ra_dec_corr,tgas_ra_error,tgas_ra_parallax_corr,tgas_ra_pmdec_corr,tgas_ra_pmra_corr,tgas_random_index,tgas_ref_epoch,tgas_scan_direction_mean_k1,tgas_scan_direction_mean_k2,tgas_scan_direction_mean_k3,tgas_scan_direction_mean_k4,tgas_scan_direction_strength_k1,tgas_scan_direction_strength_k2,tgas_scan_direction_strength_k3,tgas_scan_direction_strength_k4,tgas_solution_id,tgas_source_id,tgas_tycho2_id,binary_type
978,,,,2619.0,1715.0,,0.655570840118,173.700462966,6,0,79,85,85,85,True,5,6.43204212189,3.01568998111e-05,2.30443167686,-35.2197535895,-68.4500180869,0.30843093939,0.629593253136,-0.807334601879,0.178951650858,False,-83.9872816,334.918687978,-2147483648,279.502430064,1.98631273115e-05,12,-0.391090264287,0.370946804439,-0.649437665939,0.690062642097,316366.127529,10506.2138477,11.7742951174,94,NOT_AVAILABLE,0.395938878546,1.14842010403,0.51743307439,1.4444495593,-0.152748584747,75.0315397773,0.39037796855,0.203135915984,0.538991570473,-0.386064648628,0.503654539585,1893351,2015.0,-50.4643211365,-61.9934883118,41.6013069153,15.6799478531,0.261391997337,0.124701231718,0.180807992816,0.111529327929,1635378410781933568,4661326185282670976,9161-1396-1,SB
979,,,,1113.55,1719.0,20.3214569092,0.980083953505,186.389758332,2,0,173,175,175,175,True,3,9.55152320862,1.056277506e-05,1.02436900139,4.70502367003,58.6597811925,0.197607128842,0.331907004118,0.0937611535192,-0.189394280314,False,37.0304886614,71.7334684637,19057,145.896551612,8.09458431259e-06,21,0.628789343996,0.353277345952,0.101249925792,-0.0743375048041,24879856.1595,327101.936422,7.03515040085,175,NOT_AVAILABLE,0.366033014246,0.0507039175385,-0.29336720453,0.0497700575767,-0.000766712124459,61.2435931996,-0.660714566708,0.346734726344,-0.289998263121,-0.113315962255,0.247622191906,1829738,2015.0,-150.242111206,22.7957267761,-24.6848564148,28.956413269,0.375395834446,0.749325275421,0.275741428137,0.158891752362,1635378410781933568,470361110038458496,           ,SB
980,,,,439.41,1720.0,5.83629560471,0.710539790854,66.1829476443,5,0,65,70,70,70,True,3,6.95881938934,1.50503610712e-05,1.85402798653,-0.63339321508,32.871601218,0.326768870902,0.624293267727,0.214567616582,-0.134822100401,True,51.0649365364,316.86565455,99567,70.9238344658,1.30666732388e-05,13,0.522875538606,0.40406937548,0.136735662818,-0.158991530538,4858124.43179,78052.8757762,8.80859847821,88,NOT_AVAILABLE,-5.17915894503,0.0557269097146,-3.33025102611,0.0570156933721,-0.144385457039,303.095106618,-0.557495355606,0.227467384416,-0.608019649982,-0.131209805608,0.140115335584,1852993,2015.0,-25.6662025452,71.926902771,34.2338638306,-5.14143466949,0.0386841632426,0.453128963709,0.277289837599,0.536842942238,1635378410781933568,2055014273430844544,            ,SB
981,,,,382.9,1721.0,0.166479378939,0.485972199862,82.4535318567,0,2,71,69,71,71,True,3,2.12129569054,4.74902299175e-06,3.6959438324,-1.62469797533,56.8294564576,0.240567830482,0.660456299782,0.129406109452,-0.0347620472312,False,57.3131416902,17.5737901158,111972,105.760131587,9.19789372373e-06,15,0.443352979935,0.280964117083,0.103822313249,-0.0563855804503,9453371.51462,240762.696249,8.08580324917,83,NOT_AVAILABLE,-2.70002564163,0.0616729150313,-3.98220253479,0.0686158697536,-0.16528609395,340.217243393,-0.137702301145,0.173605394882,-0.106640942395,-0.00810956861824,0.0496731176972,1740181,2015.0,-78.1929244995,58.1880912781,12.7979984283,-22.8708992004,0.418880730867,0.097244605422,0.408957213163,0.521953523159,1635378410781933568,2007201563617118848,           ,SB
982,,,,2509.8,1722.0,3.70095062256,0.740477981348,260.113733876,2,0,87,89,89,89,True,3,7.24609041214,1.79201542778e-05,1.80173897743,-0.289235293883,20.332931972,0.207071150181,-0.232163965702,0.169502913952,0.00335326325148,False,41.2334558143,300.682110941,96458,56.074313111,7.62010245208e-06,18,1.87194452859,0.352117562895,-0.0856913253665,0.020614746958,39220454.5593,598636.329743,6.54098850692,152,NOT_AVAILABLE,-2.58479155368,0.0399959750905,0.436361930865,0.0387433108721,0.17418704927,294.157204357,-0.00191966537386,0.180540091096,0.114570327103,0.00454478384927,0.182037785649,1858809,2015.0,-84.6299285889,-83.2797164917,7.21511220932,-16.6654777527,0.616067707539,0.117790289223,0.312559187412,0.462023645639,1635378410781933568,1825620997861027584,           ,SB
983,,,,3.8735,1723.0,67.1297912598,0.866822349603,171.191890912,2,1,69,70,71,71,True,3,3.48354101181,4.24061227022e-06,1.28397464752,47.5466773845,69.0764199262,0.234947609477,-0.385051071644,0.116113126278,0.0515103451908,True,59.4738471149,134.648196084,59094,128.766670287,2.01789433416e-05,9,11.6989669729,0.343517162687,-0.131835892797,-0.0875800922513,9898603.09097,11787.0962829,8.03583528762,62,NOT_AVAILABLE,27.5937222629,0.0781271326528,-1.79951821779,0.0691238408205,0.119941815734,181.781504297,0.297843843699,0.390375501215,-0.459117919207,0.0610874034464,0.21094198525,540996,2015.0,-19.7735481262,-8.70016670227,-50.1999359131,0.111512579024,0.326653122902,0.466227948666,0.364877313375,0.232458129525,1635378410781933568,1683524856731502464,           ,SB
984,,,,2378.8,1724.0,67.1297912598,0.866822349603,171.191890912,2,1,69,70,71,71,True,3,3.48354101181,4.24061227022e-06,1.28397464752,47.5466773845,69.0764199262,0.234947609477,-0.385051071644,0.116113126278,0.0515103451908,True,59.4738471149,134.648196084,59094,128.766670287,2.01789433416e-05,9,11.6989669729,0.343517162687,-0.131835892797,-0.0875800922513,9898603.09097,11787.0962829,8.03583528762,62,NOT_AVAILABLE,27.5937222629,0.0781271326528,-1.79951821779,0.0691238408205,0.119941815734,181.781504297,0.297843843699,0.390375501215,-0.459117919207,0.0610874034464,0.21094198525,540996,2015.0,-19.7735481262,-8.70016670227,-50.1999359131,0.111512579024,0.326653122902,0.466227948666,0.364877313375,0.232458129525,1635378410781933568,1683524856731502464,           ,SB
985,,,,3.966,1729.0,6.40001773834,0.839874722427,85.850221472,1,0,44,45,45,45,True,3,8.2013092041,1.05273347799e-05,1.40194773674,-25.5106707045,11.5686238918,0.510016446302,-0.595130383968,0.652801454067,0.117410153151,True,25.8697897118,326.069938533,105200,62.5467536027,1.37880938392e-05,6,17.0550958709,0.429650136212,-0.393231868744,-0.0388229303062,25128068.1337,90034.4780984,7.02437231143,52,NOT_AVAILABLE,-48.4384828353,0.0323884940486,36.0298183901,0.0356089261427,0.266155838966,319.645469859,0.369401693344,0.264846079643,-0.0518487095833,0.236014097929,0.299764662981,731540,2015.0,-89.9638290405,-68.1552734375,-53.078037262,25.7029972076,0.459364801645,0.58178126812,0.337657988071,0.875275790691,1635378410781933568,1746335798497893632,           ,SB
986,,,,28685.0,1730.0,6.40001773834,0.839874722427,85.850221472,1,0,44,45,45,45,True,3,8.2013092041,1.05273347799e-05,1.40194773674,-25.5106707045,11.5686238918,0.510016446302,-0.595130383968,0.652801454067,0.117410153151,True,25.8697897118,326.069938533,105200,62.5467536027,1.37880938392e-05,6,17.0550958709,0.429650136212,-0.393231868744,-0.0388229303062,25128068.1337,90034.4780984,7.02437231143,52,NOT_AVAILABLE,-48.4384828353,0.0323884940486,36.0298183901,0.0356089261427,0.266155838966,319.645469859,0.369401693344,0.264846079643,-0.0518487095833,0.236014097929,0.299764662981,731540,2015.0,-89.9638290405,-68.1552734375,-53.078037262,25.7029972076,0.459364801645,0.58178126812,0.337657988071,0.875275790691,1635378410781933568,1746335798497893632,           ,SB
987,,,,3381.0,1734.0,,1.14294961697,514.905969784,2,0,179,181,181,181,True,5,11.1225795746,1.35381997097e-05,0.752539336681,40.1361442208,64.2895408502,0.538746332005,0.795799255371,-0.214169338346,-0.421879082918,True,79.6723984686,181.301679582,-2147483648,96.0842177058,0.000385246920187,27,2.06536291933,0.535561449602,-0.272613376379,-0.649804055691,6591469.78414,3061.96510692,8.4773143999,189,NOT_AVAILABLE,15.517037851,0.791749612093,-8.90515107615,0.751055115419,-0.0260908212513,245.597741255,-0.306056201458,0.2466934655,-0.124854266644,0.263622194529,0.444699764252,1096146,2015.0,72.5889968872,65.3793792725,-54.7165870667,-24.2269687653,0.685686945915,0.718234121799,0.789082825184,0.710029542446,1635378410781933568,1629846905221645312,4192-1234-1,SB
